HDI rank,country,HDI Value,life expectancy at birth,expected years of schooling,mean years of schooling,gross national income per capita
1,Norway,0.944,81.6,17.5,12.6,64992
2,Australia,0.935,82.4,20.2,13,42261
3,Switzerland,0.93,83,15.8,12.8,56431
4,Denmark,0.923,80.2,18.7,12.7,44025
5,Netherlands,0.922,81.6,17.9,11.9,45435
6,Germany,0.916,80.9,16.5,13.1,43919
6,Ireland,0.916,80.9,18.6,12.2,39568
8,United States,0.915,79.1,16.5,12.9,52947
9,Canada,0.913,82,15.9,13,42155
9,New Zealand,0.913,81.8,19.2,12.5,32689
11,Singapore,0.912,83,15.4,10.6,76628
12,Hong Kong,0.91,84,15.6,11.2,53959
13,Liechtenstein,0.908,80,15,11.8,79851
14,Sweden,0.907,82.2,15.8,12.1,45636
14,United Kingdom,0.907,80.7,16.2,13.1,39267
16,Iceland,0.899,82.6,19,10.6,35182
17,Korea,0.898,81.9,16.9,11.9,33890
18,Israel,0.894,82.4,16,12.5,30676
19,Luxembourg,0.892,81.7,13.9,11.7,58711
20,Japan,0.891,83.5,15.3,11.5,36927
21,Belgium,0.89,80.8,16.3,11.3,41187
22,France,0.888,82.2,16,11.1,38056
23,Austria,0.885,81.4,15.7,10.8,43869
24,Finland,0.883,80.8,17.1,10.3,38695
25,Slovenia,0.88,80.4,16.8,11.9,27852
26,Spain,0.876,82.6,17.3,9.6,32045
27,Italy,0.873,83.1,16,10.1,33030
28,Czech Republic,0.87,78.6,16.4,12.3,26660
29,Greece,0.865,80.9,17.6,10.3,24524
30,Estonia,0.861,76.8,16.5,12.5,25214
31,Brunei,0.856,78.8,14.5,8.8,72570
32,Cyprus,0.85,80.2,14,11.6,28633
32,Qatar,0.85,78.2,13.8,9.1,123124
34,Andorra,0.845,81.3,13.5,9.6,43978
35,Slovakia,0.844,76.3,15.1,12.2,25845
36,Poland,0.843,77.4,15.5,11.8,23177
37,Lithuania,0.839,73.3,16.4,12.4,24500
37,Malta,0.839,80.6,14.4,10.3,27930
39,Saudi Arabia,0.837,74.3,16.3,8.7,52821
40,Argentina,0.836,76.3,17.9,9.8,22050
41,United Arab Emirates,0.835,77,13.3,9.5,60868
42,Chile,0.832,81.7,15.2,9.8,21290
43,Portugal,0.83,80.9,16.3,8.2,25757
44,Hungary,0.828,75.2,15.4,11.6,22916
45,Bahrain,0.824,76.6,14.4,9.4,38599
46,Latvia,0.819,74.2,15.2,11.5,22281
47,Croatia,0.818,77.3,14.8,11,19409
48,Kuwait,0.816,74.4,14.7,7.2,83961
49,Montenegro,0.802,76.2,15.2,11.2,14558
50,Belarus,0.798,71.3,15.7,12,16676
50,Russia,0.798,70.1,14.7,12,22352
52,Oman,0.793,76.8,13.6,8,34858
52,Romania,0.793,74.7,14.2,10.8,18108
52,Uruguay,0.793,77.2,15.5,8.5,19283
55,Bahamas,0.79,75.4,12.6,10.9,21336
56,Kazakhstan,0.788,69.4,15,11.4,20867
57,Barbados,0.785,75.6,15.4,10.5,12488
58,Antigua and Barbuda,0.783,76.1,14,9.2,20070
59,Bulgaria,0.782,74.2,14.4,10.6,15596
60,Palau,0.78,72.7,13.7,12.3,13496
60,Panama,0.78,77.6,13.3,9.3,18192
62,Malaysia,0.779,74.7,12.7,10,22762
63,Mauritius,0.777,74.4,15.6,8.5,17470
64,Seychelles,0.772,73.1,13.4,9.4,23300
64,Trinidad and Tobago,0.772,70.4,12.3,10.9,26090
66,Serbia,0.771,74.9,14.4,10.5,12190
67,Cuba,0.769,79.4,13.8,11.5,7301
67,Lebanon,0.769,79.3,13.8,7.9,16509
69,Costa Rica,0.766,79.4,13.9,8.4,13413
69,Iran,0.766,75.4,15.1,8.2,15440
71,Venezuela,0.762,74.2,14.2,8.9,16159
72,Turkey,0.761,75.3,14.5,7.6,18677
73,Sri Lanka,0.757,74.9,13.7,10.8,9779
74,Mexico,0.756,76.8,13.1,8.5,16056
75,Brazil,0.755,74.5,15.2,7.7,15175
76,Georgia,0.754,74.9,13.8,12.1,7164
77,Saint Kitts and Nevis,0.752,73.8,12.9,8.4,20805
78,Azerbaijan,0.751,70.8,11.9,11.2,16428
79,Grenada,0.75,73.4,15.8,8.6,10939
80,Jordan,0.748,74,13.5,9.9,11365
81,Macedonia,0.747,75.4,13.4,9.3,11780
81,Ukraine,0.747,71,15.1,11.3,8178
83,Algeria,0.736,74.8,14,7.6,13054
84,Peru,0.734,74.6,13.1,9,11015
85,Albania,0.733,77.8,11.8,9.3,9943
85,Armenia,0.733,74.7,12.3,10.9,8124
85,Bosnia,0.733,76.5,13.6,8.3,9638
88,Ecuador,0.732,75.9,14.2,7.6,10605
89,Saint Lucia,0.729,75.1,12.6,9.3,9765
90,China,0.727,75.8,13.1,7.5,12547
90,Fiji,0.727,70,15.7,9.9,7493
90,Mongolia,0.727,69.4,14.6,9.3,10729
93,Thailand,0.726,74.4,13.5,7.3,13323
94,Dominica,0.724,77.8,12.7,7.9,9994
94,Libya,0.724,71.6,14,7.3,14911
96,Tunisia,0.721,74.8,14.6,6.8,10404
97,Colombia,0.72,74,13.5,7.3,12040
97,Saint Vincent and the Grenadines,0.72,72.9,13.4,8.6,9937
99,Jamaica,0.719,75.7,12.4,9.7,7415
100,Tonga,0.717,72.8,14.7,10.7,5069
101,Belize,0.715,70,13.6,10.5,7614
101,Dominican Republic,0.715,73.5,13.1,7.6,11883
103,Suriname,0.714,71.1,12.7,7.7,15617
104,Maldives,0.706,76.8,13,5.8,12328
105,Samoa,0.702,73.4,12.9,10.3,5327
106,Botswana,0.698,64.5,12.5,8.9,16646
107,Moldova,0.693,71.6,11.9,11.2,5223
108,Egypt,0.69,71.1,13.5,6.6,10512
109,Turkmenistan,0.688,65.6,10.8,9.9,13066
110,Gabon,0.684,64.4,12.5,7.8,16367
110,Indonesia,0.684,68.9,13,7.6,9788
112,Paraguay,0.679,72.9,11.9,7.7,7643
113,Palestine,0.677,72.9,13,8.9,4699
114,Uzbekistan,0.675,68.4,11.5,10.9,5567
115,Philippines,0.668,68.2,11.3,8.9,7915
116,El Salvador,0.666,73,12.3,6.5,7349
116,South Africa,0.666,57.4,13.6,9.9,12122
116,VietNam,0.666,75.8,11.9,7.5,5092
119,Bolivia,0.662,68.3,13.2,8.2,5760
120,Kyrgyzstan,0.655,70.6,12.5,10.6,3044
121,Iraq,0.654,69.4,10.1,6.4,14003
122,Cabo Verde,0.646,73.3,13.5,4.7,6094
123,Micronesia,0.64,69.1,11.7,9.7,3432
124,Guyana,0.636,66.4,10.3,8.5,6522
125,Nicaragua,0.631,74.9,11.5,6,4457
126,Morocco,0.628,74,11.6,4.4,6850
126,Namibia,0.628,64.8,11.3,6.2,9418
128,Guatemala,0.627,71.8,10.7,5.6,6929
129,Tajikistan,0.624,69.4,11.2,10.4,2517
130,India,0.609,68,11.7,5.4,5497
131,Honduras,0.606,73.1,11.1,5.5,3938
132,Bhutan,0.605,69.5,12.6,3,7176
133,Timor-Leste,0.595,68.2,11.7,4.4,5363
134,Syria,0.594,69.6,12.3,6.3,2728
134,Vanuatu,0.594,71.9,10.6,6.8,2803
136,Congo,0.591,62.3,11.1,6.1,6012
137,Kiribati,0.59,66,12.3,7.8,2434
138,Equatorial Guinea,0.587,57.6,9,5.5,21056
139,Zambia,0.586,60.1,13.5,6.6,3734
140,Ghana,0.579,61.4,11.5,7,3852
141,Lao,0.575,66.2,10.6,5,4680
142,Bangladesh,0.57,71.6,10,5.1,3191
143,Cambodia,0.555,68.4,10.9,4.4,2949
143,Sao Tome and Principe,0.555,66.5,11.3,4.7,2918
145,Kenya,0.548,61.6,11,6.3,2762
145,Nepal,0.548,69.6,12.4,3.3,2311
147,Pakistan,0.538,66.2,7.8,4.7,4866
148,Myanmar,0.536,65.9,8.6,4.1,4608
149,Angola,0.532,52.3,11.4,4.7,6822
150,Swaziland,0.531,49,11.3,7.1,5542
151,Tanzania,0.521,65,9.2,5.1,2411
152,Nigeria,0.514,52.8,9,5.9,5341
153,Cameroon,0.512,55.5,10.4,6,2803
154,Madagascar,0.51,65.1,10.3,6,1328
155,Zimbabwe,0.509,57.5,10.9,7.3,1615
156,Mauritania,0.506,63.1,8.5,3.8,3560
156,Solomon Islands,0.506,67.9,9.2,5,1540
158,Papua New Guinea,0.505,62.6,9.9,4,2463
159,Comoros,0.503,63.3,11.5,4.6,1456
160,Yemen,0.498,63.8,9.2,2.6,3519
161,Lesotho,0.497,49.8,11.1,5.9,3306
162,Togo,0.484,59.7,12.2,4.5,1228
163,Haiti,0.483,62.8,8.7,4.9,1669
163,Rwanda,0.483,64.2,10.3,3.7,1458
163,Uganda,0.483,58.5,9.8,5.4,1613
166,Benin,0.48,59.6,11.1,3.3,1767
167,Sudan,0.479,63.5,7,3.1,3809
168,Djibouti,0.47,62,6.4,3.8,3276
169,South Sudan,0.467,55.7,7.6,5.4,2332
170,Senegal,0.466,66.5,7.9,2.5,2188
171,Afghanistan,0.465,60.4,9.3,3.2,1885
172,Côte d’Ivoire,0.462,51.5,8.9,4.3,3171
173,Malawi,0.445,62.8,10.8,4.3,747
174,Ethiopia,0.442,64.1,8.5,2.4,1428
175,Gambia,0.441,60.2,8.8,2.8,1507
176,Congo,0.433,58.7,9.8,6,680
177,Liberia,0.43,60.9,9.5,4.1,805
178,Guinea-Bissau,0.42,55.2,9,2.8,1362
179,Mali,0.419,58,8.4,2,1583
180,Mozambique,0.416,55.1,9.3,3.2,1123
181,Sierra Leone,0.413,50.9,8.6,3.1,1780
182,Guinea,0.411,58.8,8.7,2.4,1096
183,Burkina Faso,0.402,58.7,7.8,1.4,1591
184,Burundi,0.4,56.7,10.1,2.7,758
185,Chad,0.392,51.6,7.4,1.9,2085
186,Eritrea,0.391,63.7,4.1,3.9,1130
187,Central African Republic,0.35,50.7,7.2,4.2,581
188,Niger,0.348,61.4,5.4,1.5,908
