country,homicideRate
Afghanistan,6.5
Albania,5
Algeria,0.7
Andorra,1.3
Angola,10
Anguilla (UK),7.5
Antigua and Barbuda,11.2
Argentina,5.5
Armenia,1.8
Aruba (Netherlands),3.9
Australia,1.1
Austria,0.9
Azerbaijan,2.1
Bahamas,29.8
Bahrain,0.5
Bangladesh,2.7
Barbados,7.4
Belarus,3.6
Belgium,1.6
Belize,44.7
Benin,8.4
Bermuda (UK),7.7
Bhutan,1.7
Bolivia,12.1
Bosnia and Herzegovina,1.3
Botswana,18.4
Brazil,25.2
British Virgin Islands (UK),8.4
Brunei,2
Bulgaria,1.5
Burkina Faso,8
Burundi,8
Cambodia,6.5
Cameroon,7.6
Canada,1.4
Cape Verde,10.3
Cayman Islands (UK),14.7
Central African Republic,11.8
Chad,7.3
Chile,3.1
China,1
Colombia,30.8
Comoros,10
Congo,12.5
Cook Islands,3.1
Costa Rica,8.5
Croatia,1.2
Cuba,4.2
Cyprus,2
Czech Republic,0.9
Democratic Republic of the Congo,28.3
Denmark,0.8
Djibouti,10.1
Dominica,21.1
Dominican Republic,22.1
Ecuador,12.4
Egypt,3.4
El Salvador,41.2
Equatorial Guinea,19.3
Eritrea,7.1
Estonia,5
Ethiopia,12
Fiji,4
Finland,1.6
France,1
French Guiana (France),13.3
French Polynesia (France),0.4
Gabon,9.1
Gambia,10.2
Georgia,4.3
Germany,0.8
Ghana,6.1
Greece,1.7
Greenland (Denmark),19.4
Grenada,13.3
Guadeloupe (France),7.9
Guam (US),2.5
Guatemala,39.9
Guinea,8.9
Guinea-Bissau,8.4
Guyana,17
Haiti,10.2
Honduras,90.4
Hong Kong,0.9
Hungary,2.7
Iceland,0.3
India,3.5
Indonesia,0.6
Iran,3.9
Iraq,8
Ireland,1.2
Israel,1.8
Italy,0.9
Ivory Coast,13.6
Jamaica,39.3
Japan,0.3
Jordan,2
Kazakhstan,7.8
Kenya,6.4
Kiribati,8.2
Kosovo,3.6
Kuwait,0.4
Kyrgyzstan,9.1
Laos,5.9
Latvia,4.7
Lebanon,2.2
Lesotho,38
Liberia,3.2
Libya,1.7
Liechtenstein,0
Lithuania,6.7
Luxembourg,0.8
Macao,1.4
Macedonia,1.4
Madagascar,11.1
Malawi,1.8
Malaysia,2.3
Maldives,3.9
Mali,7.5
Malta,2.8
Martinique (France),2.7
Mauritania,5
Mauritius,2.8
Mayotte (France),6
Mexico,21.5
Micronesia,4.6
Moldova,5
Monaco,0
Mongolia,9.7
Montenegro,2.7
Montserrat (UK),20.4
Morocco,2.2
Mozambique,12.4
Myanmar,15.2
Namibia,17.2
Nauru,1.3
Nepal,2.9
Netherlands,0.9
New Caledonia (France),3.3
New Zealand,0.9
Nicaragua,11.3
Niger,4.7
Nigeria,20
Niue,3.6
North Korea,5.2
Norway,2.2
Oman,1.1
Pakistan,7.7
Palau,3.1
Palestine,7.4
Panama,17.2
Papua New Guinea,10.4
Paraguay,9.7
Peru,9.6
Philippines,8.8
Poland,0.8
Portugal,1.2
Puerto Rico (US),26.5
Qatar,1.1
Romania,1.5
Russia,9
Rwanda,23.1
Réunion (France),1.8
Saint Kitts and Nevis,33.6
Saint Lucia,21.6
Saint Pierre and Miquelon (France),16.5
Saint Vincent and the Grenadines,25.6
Samoa,3.6
San Marino,0.7
Sao Tome and Principe,3.3
Saudi Arabia,0.8
Senegal,2.8
Serbia,1.2
Seychelles,9.5
Sierra Leone,1.9
Singapore,0.2
Slovakia,1.4
Slovenia,0.7
Solomon Islands,4.3
Somalia,8
South Africa,31
South Korea,0.9
South Sudan,13.9
Spain,0.8
Sri Lanka,3.4
Sudan,11.2
Suriname,6.1
Swaziland,33.8
Sweden,0.7
Switzerland,0.6
Syria,2.2
Taiwan,3
Tajikistan,1.6
Tanzania,12.7
Thailand,5
Timor-Leste,3.6
Togo,10.3
Tonga,1
Trinidad and Tobago,28.3
Tunisia,2.2
Turkey,2.6
Turkmenistan,12.8
Turks and Caicos Islands (UK),6.6
Tuvalu,4.2
Uganda,10.7
Ukraine,4.3
United Arab Emirates,2.6
United Kingdom,1
United States,3.8
United States Virgin Islands (US),52.6
Uruguay,7.9
Uzbekistan,3.7
Vanuatu,2.9
Venezuela,53.7
Vietnam,3.3
Yemen,4.8
Zambia,10.7
Zimbabwe,10.6
